POST /api/gift/upload 200 2471 - 60.732 ms | User: Unknown User | Body: {} | Time Taken: 71ms
POST /api/gift/upload 500 103 - 35.272 ms | User: Unknown User | Body: {} | Time Taken: 43ms
POST /api/gift/upload 200 2471 - 60.383 ms | User: Unknown User | Body: {} | Time Taken: 71ms
POST /api/gift/upload 200 2471 - 63.182 ms | User: Unknown User | Body: {} | Time Taken: 75ms
POST /api/gift/upload 200 2471 - 74.923 ms | User: Unknown User | Body: {} | Time Taken: 86ms
POST /api/gift/upload 200 2471 - 53.715 ms | User: Unknown User | Body: {} | Time Taken: 61ms
POST /api/gift/upload 500 200 - 67.380 ms | User: Unknown User | Body: {} | Time Taken: 77ms
POST /api/gift/upload 200 2471 - 75.129 ms | User: Unknown User | Body: {} | Time Taken: 84ms
GET /api/api/gift/availableYears 404 1453 - 504.916 ms | User: Unknown User | Body: {} | Time Taken: 512ms
GET /api/gift/availableYears 500 47 - 6.110 ms | User: Unknown User | Body: {} | Time Taken: 8ms
GET /api/gift/availableYears 200 43 - 6.462 ms | User: Unknown User | Body: {} | Time Taken: 11ms
GET /api/gift/availableYears 200 43 - 1.842 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/availableYears 500 75 - 75.817 ms | User: Unknown User | Body: {} | Time Taken: 82ms
GET /api/gift/availableYears 200 43 - 9.008 ms | User: Unknown User | Body: {} | Time Taken: 17ms
GET /api/gift/availableYears 200 43 - 2.326 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 1.539 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2023 200 2479 - 50.161 ms | User: Unknown User | Body: {} | Time Taken: 56ms
GET /api/gift/availableYears 304 - - 6.869 ms | User: Unknown User | Body: {} | Time Taken: 11ms
GET /api/gift/2024 200 2479 - 40.386 ms | User: Unknown User | Body: {} | Time Taken: 30ms
GET /api/gift/2024 304 - - 4.306 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/availableYears 304 - - 2.959 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/availableYears 304 - - 2.976 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 9.517 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api/gift/2024 304 - - 5.354 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api/gift/2024 304 - - 3.983 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/availableYears 304 - - 3.354 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/availableYears 304 - - 2.411 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 10.826 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/gift/2024 304 - - 4.665 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/gift/2024 304 - - 3.140 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 5.385 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/availableYears 304 - - 2.028 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 9.685 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/gift/2024 304 - - 3.660 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 3.317 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 3.190 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/availableYears 304 - - 1.964 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 8.023 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 4.013 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 3.073 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2023 200 2479 - 4.770 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 3.096 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2023 304 - - 19.119 ms | User: Unknown User | Body: {} | Time Taken: 20ms
GET /api/gift/2024 304 - - 6.264 ms | User: Unknown User | Body: {} | Time Taken: 7ms
GET /api/gift/availableYears 304 - - 3.020 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 3.766 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/availableYears 304 - - 2.553 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 3.740 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 1.857 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/gift/2024 304 - - 3.054 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/availableYears 304 - - 2.045 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 3.419 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 2.532 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 4.865 ms | User: Unknown User | Body: {} | Time Taken: 1ms
GET /api/gift/availableYears 304 - - 2.310 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.674 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.237 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/availableYears 304 - - 1.886 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/availableYears 304 - - 1.240 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 5.571 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 3.287 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.150 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/availableYears 304 - - 2.414 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 4.162 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/availableYears 304 - - 2.012 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.398 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.258 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2023 304 - - 2.645 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/availableYears 304 - - 1.850 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/gift/availableYears 304 - - 0.694 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 3.837 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 4.429 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 2.573 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/availableYears 304 - - 14.159 ms | User: Unknown User | Body: {} | Time Taken: 14ms
GET /api/gift/2024 304 - - 25.095 ms | User: Unknown User | Body: {} | Time Taken: 27ms
GET /api/gift/2024 304 - - 4.116 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 3.396 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 3.086 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 3.253 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 2.796 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.862 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.997 ms | User: Unknown User | Body: {} | Time Taken: 5ms
GET /api/gift/2024 304 - - 4.449 ms | User: Unknown User | Body: {} | Time Taken: 6ms
GET /api/gift/2024 304 - - 2.837 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 24.662 ms | User: Unknown User | Body: {} | Time Taken: 26ms
GET /api/gift/2024 304 - - 2.950 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.933 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.244 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.535 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.564 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.622 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 3.323 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.263 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.669 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.046 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.901 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.870 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.100 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 3.121 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 1.902 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.099 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.097 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.389 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.063 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.367 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 3.387 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.287 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.947 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.451 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.180 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.086 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.698 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.891 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.550 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.546 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.205 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 2.363 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.649 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.898 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.004 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.926 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.243 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.082 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.787 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.311 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.541 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.704 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.716 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.104 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.216 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.150 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.286 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.866 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 3.173 ms | User: Unknown User | Body: {} | Time Taken: 4ms
GET /api/gift/2024 304 - - 1.824 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.925 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.936 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.849 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.013 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.366 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.695 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.974 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.721 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.916 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.696 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.269 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 2.015 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 1.865 ms | User: Unknown User | Body: {} | Time Taken: 2ms
GET /api/gift/2024 304 - - 2.029 ms | User: Unknown User | Body: {} | Time Taken: 3ms
GET /api/gift/2024 304 - - 1.845 ms | User: Unknown User | Body: {} | Time Taken: 2ms
